search_term,sp500no,Company Name,link
AMETEK,32,"AMETEK, Inc.",https://www.youtube.com/channel/UCJ57iRcRhWjubFCZr64Fvxg
Amgen,33,Amgen Inc.,https://www.youtube.com/user/Amgen
Ameriprise Financial,34,"Ameriprise Financial, Inc.",https://www.youtube.com/user/Ameriprise
American Tower,35,American Tower Corporation,https://www.youtube.com/user/AmericanTower
Amazon,36,"Amazon.com, Inc.",https://www.youtube.com/user/amazon
Arista Networks,37,"Arista Networks, Inc.",http://www.youtube.com/user/AristaNetworks
ANSYS,38,"ANSYS, Inc.",https://www.youtube.com/user/ansysinc
Anthem,39,"Anthem, Inc.",https://www.youtube.com/channel/UCInrJqNqrSpvHwNErijbVyg
Aon,40,Aon Plc Class A,https://www.youtube.com/channel/UCub1kosRGgy4-ZO8ZH1DRWA
A. O. Smith Corporation,41,A. O. Smith Corporation,http://www.youtube.com/user/aosmithwaterproducts
APA,42,APA Corp.,https://www.youtube.com/user/ApacheCorp
Air Products & Chemicals,43,"Air Products and Chemicals, Inc.",http://www.youtube.com/user/airproducts
Amphenol,44,Amphenol Corporation Class A,
Aptive,45,Aptiv PLC,https://www.youtube.com/c/aptiv
Alexandria Real Estate Equities,46,"Alexandria Real Estate Equities, Inc.",
Atmos Energy Corporation,47,Atmos Energy Corporation,https://www.youtube.com/user/atmosenergyvideos
Activision Blizzard,48,"Activision Blizzard, Inc.",https://www.youtube.com/channel/UCqXXBpycrF0q8Q2NHIu5Y3A
AvalonBay Communities,49,"AvalonBay Communities, Inc.",https://www.youtube.com/user/AvalonBayApartments
Broadcom,50,Broadcom Inc.,https://www.youtube.com/user/BroadcomCorporation
Avery Dennison,51,Avery Dennison Corporation,https://www.youtube.com/c/AveryDennisonVideo
American Water Works Company,52,"American Water Works Company, Inc.",https://www.youtube.com/user/americanwaterworks
American Express,53,American Express Company,https://www.youtube.com/user/AmericanExpress
AutoZone,54,"AutoZone, Inc.",https://www.youtube.com/user/AutoZone
Boeing,55,Boeing Company,http://www.youtube.com/user/Boeing
Bank of America,56,Bank of America Corp,https://www.youtube.com/user/bankofamerica
Baxter International,57,Baxter International Inc.,https://www.youtube.com/user/BaxterInternational
Best Buy,58,"Best Buy Co., Inc.",https://www.youtube.com/c/BestBuy
Becton Dickinson,59,"Becton, Dickinson and Company",https://www.youtube.com/channel/UCPGmutY43EjP_3ijOugNGnA
Franklin Resources,60,"Franklin Resources, Inc.",http://www.youtube.com/user/FranklinTempletonTV
Brown-Forman Corporation,61,Brown-Forman Corporation Class B,
Biogen,62,Biogen Inc.,https://youtube.com/c/biogen
Bio-Rad Laboratories,63,"Bio-Rad Laboratories, Inc. Class A",https://www.youtube.com/user/BioRadLifeScience
Bank of New York Mellon,64,Bank of New York Mellon Corporation,https://www.youtube.com/c/bnymellon
Booking Holdings,65,Booking Holdings Inc.,https://www.youtube.com/user/BookingUK
Baker Hughes,66,Baker Hughes Company Class A,https://www.youtube.com/channel/UCxhgTNB0eD0xUeeJnP9Ow4g
BlackRock,67,"BlackRock, Inc.",https://www.youtube.com/user/blackrock
Ball,68,Ball Corporation,https://www.youtube.com/c/BallCorporationHQ
Bristol-Myers Squibb,69,Bristol-Myers Squibb Company,http://www.youtube.com/c/bristolmyerssquibb
Broadridge Financial Solutions,70,"Broadridge Financial Solutions, Inc.",https://www.youtube.com/c/broadridge
Berkshire Hathaway,71,Berkshire Hathaway Inc. Class B,
Boston Scientific,72,Boston Scientific Corporation,https://www.youtube.com/channel/UC6mvgpoLzpXU-tlbATlrXUw
BorgWarner,73,BorgWarner Inc.,https://www.youtube.com/user/BorgWarnerCorporate
Boston Properties,74,"Boston Properties, Inc.",
Citigroup,75,Citigroup Inc.,http://www.youtube.com/c/citi
Conagra Brands,76,"Conagra Brands, Inc.",https://www.youtube.com/c/conagrabrands
Cardinal Health,77,"Cardinal Health, Inc.",https://www.youtube.com/user/cardinalhealth
Carrier Global Corp.,78,Carrier Global Corp.,https://www.youtube.com/c/Carrierofficial
Caterpillar,79,Caterpillar Inc.,https://www.youtube.com/c/caterpillarinc
Chubb,80,Chubb Limited,https://www.youtube.com/user/ChubbInsurance
Cboe Global Markets,81,Cboe Global Markets Inc,https://www.youtube.com/user/cboetv
CBRE Group,82,"CBRE Group, Inc. Class A",https://www.youtube.com/c/cbre
Crown Castle International,83,Crown Castle International Corp,https://www.youtube.com/channel/UCVCnY_MSWwm64RGkR6e_zHw
Carnival Corporation,84,Carnival Corporation,
Cadence Design Systems,85,"Cadence Design Systems, Inc.",http://www.youtube.com/user/CadenceDesign
CDW,86,CDW Corp.,https://www.youtube.com/user/cdwpeoplewhogetit
Celanese,87,Celanese Corporation,http://www.youtube.com/user/CelaneseCorporation
Cerner,88,Cerner Corporation,https://www.youtube.com/user/cernercorporation
CF Industries Holdings,89,"CF Industries Holdings, Inc.",https://www.youtube.com/channel/UCVjLbOkaq0kjAerKgGbb7ag
Citizens Financial Group,90,"Citizens Financial Group, Inc.",https://www.youtube.com/user/citizensbank
Church & Dwight,91,"Church & Dwight Co., Inc.",
C.H. Robinson Worldwide,92,"C.H. Robinson Worldwide, Inc.",http://www.youtube.com/user/CHRobinsonWorldwide
Charter Communications,93,"Charter Communications, Inc. Class A",https://www.youtube.com/c/chartercommunications
Cigna,94,Cigna Corporation,https://www.youtube.com/c/cigna
Cincinnati Financial,95,Cincinnati Financial Corporation,https://www.youtube.com/c/TheCincinnatiInsuranceCompanies
Colgate-Palmolive,96,Colgate-Palmolive Company,https://www.youtube.com/user/colgatepalmolive
Clorox,97,Clorox Company,https://www.youtube.com/user/OurClorox
Comerica,98,Comerica Incorporated,https://www.youtube.com/user/Comerica
Comcast,99,Comcast Corporation Class A,https://www.youtube.com/c/comcast
CME Group,100,CME Group Inc. Class A,https://www.youtube.com/user/cmegroup
Chipotle Mexican Grill,101,"Chipotle Mexican Grill, Inc.",https://www.youtube.com/user/chipotle
Cummins,102,Cummins Inc.,https://www.youtube.com/c/cummins
CMS Energy,103,CMS Energy Corporation,https://www.youtube.com/channel/UCcY8jz-LKzbKwuXz9tpSXJw
Centene,104,Centene Corporation,https://www.youtube.com/user/CenteneCorp
CenterPoint Energy,105,"CenterPoint Energy, Inc.",https://www.youtube.com/user/centerpointenergyvid
Capital One Financial,106,Capital One Financial Corporation,https://www.youtube.com/user/capitalone
Cabot Oil & Gas Corporation,107,Cabot Oil & Gas Corporation,https://www.youtube.com/user/CabotSusquehanna
Cooper Companies,108,"Cooper Companies, Inc.",
ConocoPhillips,109,ConocoPhillips,https://www.youtube.com/c/CoNOcoPhillips
Costco Wholesale,110,Costco Wholesale Corporation,
Campbell Soup,111,Campbell Soup Company,https://www.youtube.com/channel/UC647iBx_dvDDSIx7o30WQbw
Copart,112,"Copart, Inc.",https://www.youtube.com/copart
Charles River Laboratories International,113,"Charles River Laboratories International, Inc.",https://www.youtube.com/user/CharlesRiverLabs
Salesforce,114,"salesforce.com, inc.",https://www.youtube.com/user/salesforceapac
Cisco Systems,115,"Cisco Systems, Inc.",https://www.youtube.com/user/cisco
CSX,116,CSX Corporation,https://www.youtube.com/c/CSXOfficial
Cintas,117,Cintas Corporation,https://www.youtube.com/user/cintas
Catalent,118,Catalent Inc,https://www.youtube.com/user/catalent
Cognizant Technology Solutions,119,Cognizant Technology Solutions Corporation Class A,https://www.youtube.com/c/cognizant
Corteva,120,Corteva Inc,https://www.youtube.com/c/corteva
Citrix Systems,121,"Citrix Systems, Inc.",https://www.youtube.com/c/citrix
CVS Health,122,CVS Health Corporation,https://www.youtube.com/c/CVSHealth
Chevron,123,Chevron Corporation,https://www.youtube.com/user/Chevron
Caesars Entertainment,124,Caesars Entertainment Inc,https://www.youtube.com/channel/UCmFb7QfnP-R13tvQaqea_SQ
Dominion Energy,125,Dominion Energy Inc,https://www.youtube.com/user/DomCorpComm
Delta,126,"Delta Air Lines, Inc.",https://www.youtube.com/c/Delta
DuPont,127,"DuPont de Nemours, Inc.",https://www.youtube.com/c/dupont
Deere,128,Deere & Company,https://www.youtube.com/user/JohnDeere
Discover Financial Services,129,Discover Financial Services,https://www.youtube.com/user/discoverfinancial
Dollar General,130,Dollar General Corporation,https://www.youtube.com/user/DOLLARGENERAL
Quest Diagnostics,131,Quest Diagnostics Incorporated,https://www.youtube.com/user/QuestDiagNOsticsTV
D.R. Horton,132,"D.R. Horton, Inc.",https://www.youtube.com/c/drhorton
Danaher,133,Danaher Corporation,https://www.youtube.com/user/danahercorporation
Walt Disney,134,Walt Disney Company,https://www.youtube.com/c/Disney/videos
Discovery,135,"Discovery, Inc. Class A",https://www.youtube.com/c/DiscoveryInc
DISH Network,136,DISH Network Corporation Class A,https://www.youtube.com/user/dish
Digital Realty Trust,137,"Digital Realty Trust, Inc.",https://www.youtube.com/c/digitalrealty
Dollar Tree,138,"Dollar Tree, Inc.",https://www.youtube.com/c/dollartree
Dover,139,Dover Corporation,https://www.youtube.com/user/DoverCorporation
Dow,140,"Dow, Inc.",https://www.youtube.com/user/DowChemicalCompany
Domino's Pizza,141,"Domino's Pizza, Inc.",https://www.youtube.com/c/dominos
Duke Realty Corporation,142,Duke Realty Corporation,https://www.youtube.com/user/dukerealty
Darden Restaurants,143,"Darden Restaurants, Inc.",https://www.youtube.com/user/DardenTV
DTE Energy,144,DTE Energy Company,https://www.youtube.com/user/DTEEnergyCompany
Duke Energy,145,Duke Energy Corporation,https://www.youtube.com/user/DukeEnergyMediaCtr
DaVita,146,DaVita Inc.,https://www.youtube.com/user/DaVitaKidneyCare
Devon Energy,147,Devon Energy Corporation,https://www.youtube.com/user/DevonEnergyCorp
DXC Technology,148,DXC Technology Co.,https://www.youtube.com/channel/UCJn4Oo896fQL9yEyUV49ftw
DexCom,149,"DexCom, Inc.",https://www.youtube.com/user/dexcomCGM
Electronic Arts,150,Electronic Arts Inc.,https://www.youtube.com/c/EAvideos
eBay,151,eBay Inc.,https://www.youtube.com/c/EBAY
Ecolab,152,Ecolab Inc.,https://www.youtube.com/user/everywhereitmatters
Consolidated Edison,153,"Consolidated Edison, Inc.",https://www.youtube.com/user/ConEdisonNY
Equifax,154,Equifax Inc.,https://www.youtube.com/user/EFXWorkforce
Edison International,155,Edison International,https://www.youtube.com/user/SCE
estee lauder,156,Estee Lauder Companies Inc. Class A,https://www.youtube.com/channel/UCxwZnmLwSvrp1RjHNNeAeFQ
Eastman Chemical,157,Eastman Chemical Company,https://www.youtube.com/user/EastmanChemicalCo
Emerson Electric,158,Emerson Electric Co.,https://www.youtube.com/user/emerson
Enphase Energy,159,"Enphase Energy, Inc.",https://www.youtube.com/user/EnphaseEnergy
EOG Resources,160,"EOG Resources, Inc.",
Equinix,161,"Equinix, Inc.",https://www.youtube.com/user/equinixvideos
Equity Residential,162,Equity Residential,https://www.youtube.com/channel/UCXmrox32zqYYoae7pZOOIEw
Eversource Energy,163,Eversource Energy,https://www.youtube.com/channel/UCpq2zozgxhuM4iafvhVImVg
Essex Property Trust,164,"Essex Property Trust, Inc.",https://www.youtube.com/channel/UCoWO9wmB7lMy26jp5BxOopw
Eaton,165,Eaton Corp. Plc,https://www.youtube.com/user/EatonVideos
Entergy,166,Entergy Corporation,https://www.youtube.com/user/entergy
Etsy,167,"Etsy, Inc.",https://www.youtube.com/user/etsy
Evergy,168,"Evergy, Inc.",https://www.youtube.com/c/Evergy
Edwards Lifesciences Corporation,169,Edwards Lifesciences Corporation,https://www.youtube.com/user/EdwardsGlobal
Exelon,170,Exelon Corporation,https://www.youtube.com/user/ExelonCorporation
Expeditors Intl. of Washington,171,"Expeditors International of Washington, Inc.",https://www.youtube.com/channel/UCfE8Aj5mScioVpE2NOBp6tg
Expedia Group,172,"Expedia Group, Inc.",https://www.youtube.com/channel/UCXt4Cd-0UyVeILWfjE8uisg
Extra Space Storage,173,Extra Space Storage Inc.,https://www.youtube.com/c/extraspacestorage
Ford Motor,174,Ford Motor Company,https://www.youtube.com/user/ford
Diamondback Energy,175,"Diamondback Energy, Inc.",
Fastenal Company,176,Fastenal Company,https://www.youtube.com/c/fastenal
Facebook,177,"Facebook, Inc. Class A",https://www.youtube.com/c/facebookapp
Fortune Brands Home & Security,178,"Fortune Brands Home & Security, Inc.",https://www.youtube.com/channel/UCXTPUv5clQGBQUsG-1H7d5Q
Freeport-McMoRan,179,"Freeport-McMoRan, Inc.",
FedEx,180,FedEx Corporation,https://www.youtube.com/user/fedex/custom
FirstEnergy,181,FirstEnergy Corp.,https://www.youtube.com/user/FirstEnergyTV
F5 Networks,182,"F5 Networks, Inc.",https://www.youtube.com/user/f5networksinc
Fidelity National Information Services,183,"Fidelity National Information Services, Inc.",https://www.youtube.com/user/FISTVToday
Fiserv,184,"Fiserv, Inc.",https://www.youtube.com/c/fiserv/videos
Fifth Third Bancorp,185,Fifth Third Bancorp,https://www.youtube.com/user/fifththirdbank
FLEETCOR Technologies,186,"FLEETCOR Technologies, Inc.",https://www.youtube.com/user/FleetcorFLT
FMC Corporation,187,FMC Corporation,https://www.youtube.com/channel/UCQGD4OLXpXJfojFKAVomelA
Fox,188,Fox Corporation Class A,https://www.youtube.com/c/FoxNews
First Republic Bank,189,First Republic Bank,https://www.youtube.com/c/firstrepublicvideos
Federal Realty Investment Trust,190,Federal Realty Investment Trust,https://www.youtube.com/user/FederalRealtyTV
Fortinet,191,"Fortinet, Inc.",https://www.youtube.com/channel/UCJHo4AuVomwMRzgkA5DQEOA
Fortive,192,Fortive Corp.,https://www.youtube.com/channel/UCmnWkUlabmRqekE9mnjwY9g
General Dynamics,193,General Dynamics Corporation,https://www.youtube.com/c/GeneralDynamicsOrdnanceandTacticalSystems
General Electric,194,General Electric Company,https://www.youtube.com/user/ge
Gilead Sciences,195,"Gilead Sciences, Inc.",https://www.youtube.com/channel/UCNSt7PtsfNGbezR9hmvRI1w
General Mills,196,"General Mills, Inc.",https://www.youtube.com/user/generalmills
Globe Life Insurance,197,Globe Life Inc.,https://www.youtube.com/user/GlobeLifeInsurance
Corning,198,Corning Inc,https://www.youtube.com/user/CorningIncorporated
General Motors,199,General Motors Company,https://www.youtube.com/user/gmblogs
Generac Holdings,200,Generac Holdings Inc.,https://www.youtube.com/user/Generacpowersystems
Alphabet,201,Alphabet Inc. Class A,https://www.youtube.com/user/GoogleIR/featured?app=desktop
Genuine Parts,202,Genuine Parts Company,https://www.youtube.com/channel/UCDpofNNntMJI1rltR_80o7Q
Global Payments,203,Global Payments Inc.,https://www.youtube.com/channel/UCg9HiItBheBjWJcOBE8q9HQ
Gap,204,"Gap, Inc.",https://www.youtube.com/user/Gap
Garmin,205,Garmin Ltd.,https://www.youtube.com/GARMIN
Goldman Sachs Group,206,"Goldman Sachs Group, Inc.",https://www.youtube.com/user/goldmansachs
W.W. Grainger,207,"W.W. Grainger, Inc.",https://www.youtube.com/channel/UC1EXGMfoklkkEgPzyqRWw4A
Halliburton,208,Halliburton Company,https://www.youtube.com/c/halliburton
Hasbro,209,"Hasbro, Inc.",https://www.youtube.com/c/Hasbro
Huntington Bancshares,210,Huntington Bancshares Incorporated,https://www.youtube.com/user/huntingtonbank
Hanesbrands,211,Hanesbrands Inc.,https://www.youtube.com/c/hanes
HCA Healthcare,212,HCA Healthcare Inc,https://www.youtube.com/user/HCAhealthcare
Home Depot,213,"Home Depot, Inc.",https://www.youtube.com/c/HOMEDEPOT
Hess,214,Hess Corporation,https://www.youtube.com/user/HessCorporation
HollyFrontier,215,HollyFrontier Corporation,
Hartford Financial Services Group,216,"Hartford Financial Services Group, Inc.",https://www.youtube.com/user/thehartford
Huntington Ingalls Industries,217,"Huntington Ingalls Industries, Inc.",https://www.youtube.com/channel/UCIX5wJ6wai-zFzkZq-5-ZBw
Hilton Worldwide Holdings,218,Hilton Worldwide Holdings Inc,https://www.youtube.com/user/hiltonworldwide
Hologic,219,"Hologic, Inc.",https://www.youtube.com/channel/UChrzlPhyLwmBUgjFAUHc0qQ
Honeywell International,220,Honeywell International Inc.,https://www.youtube.com/user/Honeywell
Hewlett Packard Enterprise,221,Hewlett Packard Enterprise Co.,https://www.youtube.com/c/HPE
HP,222,HP Inc.,https://www.youtube.com/channel/UCqcEzOKaA4nc0gISklN0Ryw
Hormel Foods,223,Hormel Foods Corporation,https://www.youtube.com/channel/UCoxIAxNie9GVKD2Fq0QLjTw
Henry Schein,224,"Henry Schein, Inc.",https://www.youtube.com/user/henryscheinInc
Host Hotels & Resorts,225,"Host Hotels & Resorts, Inc.",https://www.youtube.com/channel/UCahQlvC-h4--1kEzoVhnV9w
Hershey,226,Hershey Company,https://www.youtube.com/c/hersheycompany
Humana,227,Humana Inc.,https://www.youtube.com/c/humana
Howmet Aerospace,228,Howmet Aerospace Inc.,https://www.youtube.com/c/howmetaerospace
International Business Machines,229,International Business Machines Corporation,https://www.youtube.com/c/ibm
Intercontinental Exchange,230,"Intercontinental Exchange, Inc.",
IDEXX Laboratories,231,"IDEXX Laboratories, Inc.",https://www.youtube.com/user/idexxvideos
IDEX Corporation,232,IDEX Corporation,https://www.youtube.com/channel/UCQf1vzAy6SEsWx6GQ5VAfHw
International Flavors & Fragrances,233,International Flavors & Fragrances Inc.,https://www.youtube.com/c/InternationalFlavorsFragrancesInc
Illumina,234,"Illumina, Inc.",https://www.youtube.com/channel/UCxWMU29FF4kIG8YmQf6Zv0g
Incyte Corporation,235,Incyte Corporation,https://www.youtube.com/channel/UCQu_9fYXOTWn4q3h-c0sKCg
IHS Markit,236,IHS Markit Ltd.,https://www.youtube.com/channel/UCfXvCHeuAzcYIrR8WeHJgSw
Intel,237,Intel Corporation,https://www.youtube.com/channel/UCk7SjrXVXAj8m8BLgzh6dGA
Intuit,238,Intuit Inc.,https://www.youtube.com/user/intuit
International Paper,239,International Paper Company,https://www.youtube.com/user/internationalpaper1
Interpublic Group,240,"Interpublic Group of Companies, Inc.",https://www.youtube.com/user/IPGivesBack
IPG Photonics Corporation,241,IPG Photonics Corporation,https://www.youtube.com/channel/UCG_B_G2LPc1h2J2qg40RCMg
IQVIA Holdings,242,IQVIA Holdings Inc,https://www.youtube.com/channel/UCJalKbf6yC7ZQzA3qnPZtmg
Ingersoll Rand,243,Ingersoll Rand Inc.,https://www.youtube.com/user/irtoolscom
Iron Mountain,244,"Iron Mountain, Inc.",https://www.youtube.com/channel/UCu5Cs9TET9LydgVymChdWjw
Intuitive Surgical,245,"Intuitive Surgical, Inc.",https://www.youtube.com/c/Intuitive
Gartner,246,"Gartner, Inc.",https://www.youtube.com/user/Gartnervideo
Illinois Tool Works,247,Illinois Tool Works Inc.,https://www.youtube.com/channel/UCOPFrQ180qSqAihgmEwAXpw
Invesco,248,Invesco Ltd.,https://www.youtube.com/c/Invesco
Jacobs Engineering Group,249,Jacobs Engineering Group Inc.,https://www.youtube.com/user/jacobsworldwide
J.B. Hunt Transport Services,250,"J.B. Hunt Transport Services, Inc.",https://www.youtube.com/channel/UCmEW8-aYb8KEhn7q2wDWF5w
Johnson Controls International,251,Johnson Controls International plc,https://www.youtube.com/user/JohnsonControlsInc/JohnsonControls
Jack Henry & Associates,252,"Jack Henry & Associates, Inc.",https://www.youtube.com/channel/UCVKJwFR0Ogw6-2LAwV2oIUg
Johnson & Johnson,253,Johnson & Johnson,https://www.youtube.com/user/JNJhealth
Juniper Networks,254,"Juniper Networks, Inc.",https://www.youtube.com/user/JuniperNetworks
JPMorgan Chase,255,JPMorgan Chase & Co.,https://www.youtube.com/user/jpmorgan
Kellogg,256,Kellogg Company,https://www.youtube.com/user/kelloggcompany
KeyCorp,257,KeyCorp,https://www.youtube.com/user/keybankcommunity
Keysight Technologies,258,Keysight Technologies Inc,https://www.youtube.com/user/keysight
Kraft Heinz,259,Kraft Heinz Company,https://www.youtube.com/channel/UCncUfu0-qUDNobBA2pNOQng
Kimco Realty Corporation,260,Kimco Realty Corporation,https://www.youtube.com/user/kimcorealty
KLA Corporation,261,KLA Corporation,https://www.youtube.com/c/KLACorp
Kimberly-Clark,262,Kimberly-Clark Corporation,https://www.youtube.com/user/KimberlyClarkComms
Kinder Morgan,263,Kinder Morgan Inc Class P,https://www.youtube.com/channel/UCGodkFZt8Ca8Gb9DVtbigmQ
CarMax,264,"CarMax, Inc.",https://www.youtube.com/channel/UC-kNP_fPjvyQqC25VcHhDMQ
Coca-Cola,265,Coca-Cola Company,https://www.youtube.com/user/CocaColaCo
Kroger,266,Kroger Co.,https://www.youtube.com/c/KrogerCo
Kansas City Southern,267,Kansas City Southern,https://www.youtube.com/user/KCS1887
Loews Corporation,268,Loews Corporation,https://www.youtube.com/user/LoewsCorporation
L Brands,269,"L Brands, Inc.",
Leidos Holdings,270,"Leidos Holdings, Inc.",https://www.youtube.com/user/LeidosInc
Leggett & Platt,271,"Leggett & Platt, Incorporated",
Lennar,272,Lennar Corporation Class A,https://www.youtube.com/user/LennarOnline
Laboratory Corp. of America,273,Laboratory Corporation of America Holdings,https://www.youtube.com/c/LabcorpVideo
L3Harris Technologies,274,L3Harris Technologies Inc,https://www.youtube.com/channel/UCENNhz_O63zkKUHkj6bsIIQ
Linde,275,Linde plc,https://www.youtube.com/c/thelindegroup
LKQ,276,LKQ Corporation,https://www.youtube.com/channel/UCWQ70J3qMvl6UUQkB4uZCXQ
Eli Lilly,277,Eli Lilly and Company,https://www.youtube.com/user/EliLillyandCompany
Lockheed Martin,278,Lockheed Martin Corporation,https://www.youtube.com/user/LockheedMartinVideos
Lincoln National,279,Lincoln National Corporation,https://www.youtube.com/user/LincolnFinancialGrp
Alliant Energy Corp,280,Alliant Energy Corp,https://www.youtube.com/user/AlliantEnergyVideo
Lowe's,281,"Lowe's Companies, Inc.",https://www.youtube.com/c/Lowes
Lam Research,282,Lam Research Corporation,https://www.youtube.com/user/LamResearchCorp
Lumen Technologies,283,"Lumen Technologies, Inc.",https://www.youtube.com/c/lumentechnologies
Southwest Airlines,284,Southwest Airlines Co.,https://www.youtube.com/user/NutsAboutSouthwest
Las Vegas Sands,285,Las Vegas Sands Corp.,https://www.youtube.com/user/LasVegasSandsCorp
Lamb Weston Holdings,286,"Lamb Weston Holdings, Inc.",https://www.youtube.com/user/LambWestonCompany
LyondellBasell Industries NV,287,LyondellBasell Industries NV,https://www.youtube.com/user/lyondellbasellvision
Live Nation Entertainment,288,"Live Nation Entertainment, Inc.",https://www.youtube.com/user/livenation
Mastercard,289,Mastercard Incorporated Class A,https://www.youtube.com/user/MasterCard
"Mid-America Apartment Communities, Inc.",290,"Mid-America Apartment Communities, Inc.",
Marriott International,291,"Marriott International, Inc. Class A",https://www.youtube.com/user/marriott
Masco,292,Masco Corporation,https://www.youtube.com/channel/UCUT74RmhYpcB0SI66-f8VBw
McDonald's,293,McDonald's Corporation,https://www.youtube.com/channel/UCNQq5T_iBwM6zi2_lOGPnGA
Microchip Technology Incorporated,294,Microchip Technology Incorporated,https://www.youtube.com/user/MicrochipTechnology
McKesson Corporation,295,McKesson Corporation,https://www.youtube.com/c/McKessonCorporationVideo
Moody's Corporation,296,Moody's Corporation,https://www.youtube.com/channel/UCyWqT8lrGbRqWa30c_l5iSw
Mondelez International,297,"Mondelez International, Inc. Class A",https://www.youtube.com/channel/UC4K4zLoKvkhNhgRTctZu8JA
Medtronic,298,Medtronic Plc,https://www.youtube.com/user/MedtronicCorp
MetLife,299,"MetLife, Inc.",https://www.youtube.com/user/Metlife
MGM Resorts International,300,MGM Resorts International,https://www.youtube.com/user/mlifetv
Mohawk Industries,301,"Mohawk Industries, Inc.",https://www.youtube.com/c/mohawkflooring
McCormick & Company,302,"McCormick & Company, Incorporated",https://www.youtube.com/channel/UCleuTKnhH0p6lp_7T9JFxfw
MarketAxess Holdings,303,MarketAxess Holdings Inc.,
Martin Marietta Materials,304,"Martin Marietta Materials, Inc.",https://www.youtube.com/channel/UC3QxUS7gzhARuNy02bMFsiA
Marsh & McLennan,305,"Marsh & McLennan Companies, Inc.",https://www.youtube.com/user/TheMarshChannel
3M,306,3M Company,https://www.youtube.com/c/3MCorporate
Monster Energy,307,Monster Beverage Corporation,https://www.youtube.com/channel/UCjlgJWJWfCwVi8H6ZyBTxiw
Altria Group,308,Altria Group Inc,https://www.youtube.com/user/Altria
Mosaic Company,309,Mosaic Company,https://www.youtube.com/user/MosaicCompany
Marathon Petroleum,310,Marathon Petroleum Corporation,https://www.youtube.com/channel/UC2VMk_st5c0dOZiLzCPhv2g
Monolithic Power Systems,311,"Monolithic Power Systems, Inc.",https://www.youtube.com/channel/UCqOx8jWRKEq4TpfcjCz0Isw
Merck,312,"Merck & Co., Inc.",https://www.youtube.com/user/Merck
Marathon Oil Corporation,313,Marathon Oil Corporation,https://www.youtube.com/user/MarathonOilCorp
Morgan Stanley,314,Morgan Stanley,https://www.youtube.com/user/mgstnly
MSCI,315,MSCI Inc. Class A,https://www.youtube.com/user/MSCIChannel
Microsoft,316,Microsoft Corporation,https://www.youtube.com/c/Microsoft
Motorola Solutions,317,"Motorola Solutions, Inc.",https://www.youtube.com/user/MotorolaSolutions
